===== Hyperparameters =====
ckpt: None
train_npz: datasets/initial_competition/predict_data/predict_data_seq_len_200/train_resplit.npz
val_npz: datasets/initial_competition/predict_data/predict_data_seq_len_200/val_resplit.npz
test_npz: datasets/initial_competition/Esun_test/Esun_test_seq_200.npz
output_dir: checkpoints/rnn/
sample_size: 0
seq_len: 200
soft_label: 0.0
lr: 1e-05
seed: 42
epochs: 100
num_layers: 3
batch_size: 16
true_weight: 1.0
cluster_name: None
model: rnn
predict_data: True
use_cluster: False
CLS_token: False
without_channel_currency_emb: True
one_token_per_day: False
rnn_hidden: 128
rnn_layers: 2
bidirectional: True
Device: cuda
===========================

Labels: ['normal', 'alert']
======================================== Model ======================================== 
RNNSequenceClassifier(
  (rnn): RNN(8, 128, num_layers=2, batch_first=True, dropout=0.1, bidirectional=True)
  (fc_out): Sequential(
    (0): Linear(in_features=256, out_features=128, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.1, inplace=False)
    (3): Linear(in_features=128, out_features=1, bias=True)
  )
)
 ======================================================================================= 

Epoch 1: Train Acc=82.72%, Val Acc=81.97%,Train F1=0.000, Val F1=0.000, Loss=0.5774
Epoch 40: Train Acc=92.90%, Val Acc=92.86%,Train F1=0.789, Val F1=0.802, Loss=0.1924
Epoch 41: Train Acc=92.82%, Val Acc=92.18%,Train F1=0.786, Val F1=0.781, Loss=0.1919
Epoch 42: Train Acc=92.61%, Val Acc=91.67%,Train F1=0.788, Val F1=0.778, Loss=0.1904
Epoch 43: Train Acc=92.96%, Val Acc=92.52%,Train F1=0.790, Val F1=0.790, Loss=0.1915
Epoch 44: Train Acc=93.17%, Val Acc=92.86%,Train F1=0.794, Val F1=0.800, Loss=0.1905
Epoch 45: Train Acc=93.11%, Val Acc=92.69%,Train F1=0.792, Val F1=0.792, Loss=0.1894
Epoch 46: Train Acc=93.30%, Val Acc=92.86%,Train F1=0.796, Val F1=0.800, Loss=0.1893
Epoch 47: Train Acc=93.05%, Val Acc=92.35%,Train F1=0.790, Val F1=0.783, Loss=0.1893
Epoch 48: Train Acc=93.03%, Val Acc=92.01%,Train F1=0.779, Val F1=0.761, Loss=0.1880
Epoch 49: Train Acc=92.86%, Val Acc=92.01%,Train F1=0.796, Val F1=0.789, Loss=0.1850
Epoch 50: Train Acc=92.51%, Val Acc=91.67%,Train F1=0.792, Val F1=0.784, Loss=0.1853
Epoch 51: Train Acc=93.17%, Val Acc=92.52%,Train F1=0.790, Val F1=0.786, Loss=0.1859
Epoch 52: Train Acc=93.01%, Val Acc=91.67%,Train F1=0.778, Val F1=0.751, Loss=0.1842
Epoch 53: Train Acc=93.01%, Val Acc=92.69%,Train F1=0.792, Val F1=0.796, Loss=0.1846
Epoch 54: Train Acc=92.99%, Val Acc=92.52%,Train F1=0.793, Val F1=0.792, Loss=0.1877
Epoch 55: Train Acc=93.07%, Val Acc=92.35%,Train F1=0.792, Val F1=0.785, Loss=0.1843
Epoch 56: Train Acc=93.17%, Val Acc=92.69%,Train F1=0.791, Val F1=0.790, Loss=0.1858
Epoch 57: Train Acc=92.99%, Val Acc=91.84%,Train F1=0.778, Val F1=0.758, Loss=0.1870
Epoch 58: Train Acc=92.99%, Val Acc=92.52%,Train F1=0.795, Val F1=0.794, Loss=0.1850
Epoch 59: Train Acc=93.15%, Val Acc=92.52%,Train F1=0.796, Val F1=0.792, Loss=0.1862
Epoch 60: Train Acc=93.23%, Val Acc=91.84%,Train F1=0.790, Val F1=0.762, Loss=0.1827
Epoch 61: Train Acc=93.09%, Val Acc=93.03%,Train F1=0.796, Val F1=0.806, Loss=0.1833
Epoch 62: Train Acc=92.80%, Val Acc=91.84%,Train F1=0.796, Val F1=0.782, Loss=0.1825
Epoch 63: Train Acc=93.24%, Val Acc=92.69%,Train F1=0.794, Val F1=0.790, Loss=0.1834
Epoch 64: Train Acc=93.03%, Val Acc=92.52%,Train F1=0.791, Val F1=0.788, Loss=0.1833
Epoch 65: Train Acc=93.11%, Val Acc=92.86%,Train F1=0.798, Val F1=0.802, Loss=0.1815
Epoch 66: Train Acc=93.11%, Val Acc=91.84%,Train F1=0.785, Val F1=0.762, Loss=0.1831
Epoch 67: Train Acc=93.05%, Val Acc=92.69%,Train F1=0.792, Val F1=0.794, Loss=0.1826
Epoch 68: Train Acc=93.21%, Val Acc=92.69%,Train F1=0.802, Val F1=0.798, Loss=0.1829
Epoch 69: Train Acc=93.15%, Val Acc=92.86%,Train F1=0.794, Val F1=0.798, Loss=0.1825
Epoch 70: Train Acc=93.19%, Val Acc=92.01%,Train F1=0.789, Val F1=0.768, Loss=0.1826
Epoch 71: Train Acc=92.99%, Val Acc=92.69%,Train F1=0.793, Val F1=0.798, Loss=0.1828
Epoch 72: Train Acc=93.01%, Val Acc=92.69%,Train F1=0.800, Val F1=0.802, Loss=0.1806
Epoch 73: Train Acc=93.15%, Val Acc=92.69%,Train F1=0.800, Val F1=0.798, Loss=0.1827
Epoch 74: Train Acc=93.11%, Val Acc=92.86%,Train F1=0.795, Val F1=0.802, Loss=0.1811
Epoch 75: Train Acc=93.23%, Val Acc=92.86%,Train F1=0.796, Val F1=0.800, Loss=0.1823
Epoch 76: Train Acc=93.30%, Val Acc=93.03%,Train F1=0.803, Val F1=0.806, Loss=0.1817
Epoch 77: Train Acc=93.26%, Val Acc=92.86%,Train F1=0.800, Val F1=0.802, Loss=0.1814
Epoch 78: Train Acc=93.21%, Val Acc=92.69%,Train F1=0.798, Val F1=0.796, Loss=0.1804
Epoch 79: Train Acc=93.15%, Val Acc=92.52%,Train F1=0.792, Val F1=0.786, Loss=0.1819
Epoch 80: Train Acc=93.11%, Val Acc=92.52%,Train F1=0.792, Val F1=0.788, Loss=0.1799
Epoch 81: Train Acc=93.17%, Val Acc=93.03%,Train F1=0.795, Val F1=0.804, Loss=0.1797
Epoch 82: Train Acc=93.21%, Val Acc=92.52%,Train F1=0.792, Val F1=0.784, Loss=0.1809
Epoch 83: Train Acc=93.23%, Val Acc=92.69%,Train F1=0.793, Val F1=0.790, Loss=0.1814
Epoch 84: Train Acc=92.47%, Val Acc=91.84%,Train F1=0.793, Val F1=0.789, Loss=0.1785
Epoch 85: Train Acc=93.13%, Val Acc=92.86%,Train F1=0.801, Val F1=0.806, Loss=0.1798
Epoch 86: Train Acc=93.23%, Val Acc=92.69%,Train F1=0.799, Val F1=0.798, Loss=0.1816
Epoch 87: Train Acc=93.19%, Val Acc=93.03%,Train F1=0.798, Val F1=0.808, Loss=0.1805
Epoch 88: Train Acc=93.09%, Val Acc=92.69%,Train F1=0.795, Val F1=0.796, Loss=0.1781
Epoch 89: Train Acc=93.23%, Val Acc=92.52%,Train F1=0.791, Val F1=0.784, Loss=0.1795
Epoch 90: Train Acc=93.21%, Val Acc=92.69%,Train F1=0.797, Val F1=0.794, Loss=0.1793
Epoch 91: Train Acc=93.24%, Val Acc=92.69%,Train F1=0.794, Val F1=0.794, Loss=0.1793
Epoch 92: Train Acc=93.19%, Val Acc=92.69%,Train F1=0.796, Val F1=0.794, Loss=0.1818
Epoch 93: Train Acc=93.28%, Val Acc=92.69%,Train F1=0.796, Val F1=0.790, Loss=0.1790
Epoch 94: Train Acc=93.01%, Val Acc=92.69%,Train F1=0.800, Val F1=0.802, Loss=0.1797
Epoch 95: Train Acc=93.28%, Val Acc=93.03%,Train F1=0.802, Val F1=0.808, Loss=0.1764
Epoch 96: Train Acc=92.90%, Val Acc=92.01%,Train F1=0.798, Val F1=0.791, Loss=0.1769
Epoch 97: Train Acc=93.32%, Val Acc=93.03%,Train F1=0.804, Val F1=0.808, Loss=0.1794
Epoch 98: Train Acc=93.36%, Val Acc=92.18%,Train F1=0.796, Val F1=0.777, Loss=0.1780
Epoch 99: Train Acc=93.19%, Val Acc=92.18%,Train F1=0.788, Val F1=0.772, Loss=0.1810
Epoch 100: Train Acc=93.26%, Val Acc=92.52%,Train F1=0.801, Val F1=0.792, Loss=0.1772
Final Val Acc = 93.03%
normal	P=0.958	R=0.956	F1=0.957
alert	P=0.804	R=0.811	F1=0.808

===== Summary =====
Total training time: 2.18 minutes
Model size: 0.17M parameters
Best model: checkpoints/rnn//predict_data/predict_data_seq_200_layers_3_without_ch_cur_emb_20251110_235337/ckpt/best_epoch87.pth
alert_count: 176
=====================
